Virus Strain,Vaccine Element,HLA,Immunogenicity Score,Binding,Error Rate
Zika Virus,vaccine_element_1,HLA-B*40,0.53,1180.0,0.29
Zika Virus,vaccine_element_1,HLA-B*49,0.54,1491.0,0.38
Zika Virus,vaccine_element_1,HLA-B*18,0.73,886.0,0.08
Zika Virus,vaccine_element_1,HLA-A*19,0.48,622.0,0.06
Zika Virus,vaccine_element_1,HLA-A*40,0.7,985.0,0.57
Zika Virus,vaccine_element_1,HLA-B*33,0.66,1354.0,0.14
Zika Virus,vaccine_element_1,HLA-A*26,0.45,358.0,0.39
Zika Virus,vaccine_element_1,HLA-B*12,0.97,1513.0,0.43
Zika Virus,vaccine_element_1,HLA-B*97,0.6,1641.0,0.57
Zika Virus,vaccine_element_1,HLA-B*09,0.98,1804.0,0.39
Zika Virus,vaccine_element_1,HLA-B*89,0.92,970.0,0.25
Zika Virus,vaccine_element_1,HLA-A*45,0.44,826.0,0.64
Zika Virus,vaccine_element_1,HLA-A*58,0.76,1927.0,0.08
Zika Virus,vaccine_element_1,HLA-A*81,0.8,1993.0,0.22
Zika Virus,vaccine_element_1,HLA-A*27,0.72,1402.0,0.28
Zika Virus,vaccine_element_1,HLA-B*50,0.92,1710.0,0.42
Zika Virus,vaccine_element_1,HLA-A*95,0.6,1112.0,0.64
Zika Virus,vaccine_element_1,HLA-B*81,0.9,1996.0,0.41
Zika Virus,vaccine_element_1,HLA-B*29,0.48,1285.0,0.51
Zika Virus,vaccine_element_1,HLA-B*51,0.5,1887.0,0.31
Zika Virus,vaccine_element_1,HLA-A*44,0.75,1602.0,0.14
Zika Virus,vaccine_element_1,HLA-B*82,0.94,844.0,0.13
Zika Virus,vaccine_element_1,HLA-B*72,0.49,1107.0,0.37
Zika Virus,vaccine_element_1,HLA-B*52,0.66,693.0,0.42
Zika Virus,vaccine_element_1,HLA-A*54,0.64,679.0,0.44
Zika Virus,vaccine_element_1,HLA-B*60,0.7,1472.0,0.47
Zika Virus,vaccine_element_1,HLA-B*93,0.73,1313.0,0.24
Zika Virus,vaccine_element_1,HLA-B*32,0.46,1382.0,0.56
Zika Virus,vaccine_element_1,HLA-A*12,0.42,554.0,0.49
Zika Virus,vaccine_element_1,HLA-B*54,0.55,1433.0,0.13
Zika Virus,vaccine_element_2,HLA-B*40,0.75,537.0,0.12
Zika Virus,vaccine_element_2,HLA-B*49,0.41,1609.0,0.14
Zika Virus,vaccine_element_2,HLA-B*18,0.95,567.0,0.23
Zika Virus,vaccine_element_2,HLA-A*19,0.61,1499.0,0.39
Zika Virus,vaccine_element_2,HLA-A*40,0.68,380.0,0.43
Zika Virus,vaccine_element_2,HLA-B*33,0.71,319.0,0.63
Zika Virus,vaccine_element_2,HLA-A*26,0.94,1519.0,0.57
Zika Virus,vaccine_element_2,HLA-B*12,0.83,1413.0,0.15
Zika Virus,vaccine_element_2,HLA-B*97,0.41,1538.0,0.2
Zika Virus,vaccine_element_2,HLA-B*09,0.99,904.0,0.38
Zika Virus,vaccine_element_2,HLA-B*89,0.98,1249.0,0.11
